Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
xx Maverick St,East Boston,02128,33,0,33,29,0,29,4,0,4,Ownership,Private,,
xx Maywood Street,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xx Nelson Street,Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx Old Colony Ave,South Boston,02127,14,0,14,12,0,12,2,0,2,Ownership,Private,,
xx River Street,Hyde Park,02136,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
xx Saratoga St (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,
xx Talbot Ave,Dorchester,02124,13,13,0,0,0,0,13,13,0,Rental,Private,Y,
xx Tremont Street,Mission Hill,02120,66,66,0,65,65,0,1,1,0,Rental,Private,,
xx W Broadway,South Boston,02127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
xx Washington St,Jamaica Plain,02130,40,0,40,33,0,33,7,0,7,Ownership,Private,,
xx Wentworth St (BuildHome),Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,
xx West Broadway,South Boston,02127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
xxx A Street,South Boston,02127,12,0,12,11,0,11,1,0,1,Ownership,Private,,
xxx Beacon St,Fenway,02215,45,45,0,39,39,0,6,6,0,Rental,Private,,
xxx Blue Hill Ave,Roxbury,02119,3,2,1,0,0,0,3,1,2,Ownership/Rental,Private,,
xxx Blue Hill Avenue,Dorchester,02121,3,3,0,0,0,0,3,3,0,Rental,Private,,
xxx Bowdoin Street,Dorchester,02122,41,41,0,0,0,0,41,41,0,Rental,Private,,
xxx Boylston Street,Fenway,02215,212,212,0,188,188,0,24,24,0,Rental,Private,,
xxx Chelsea St,East Boston,02128,38,38,0,32,32,0,6,6,0,Rental,Private,,
xxx Clarkson St (REO),Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx Cummins Hwy,Roslindale,02131,12,0,12,11,0,11,1,0,1,Ownership,Private,,
xxx Dorchester Avenue,South Boston,02127,33,0,33,29,0,29,4,0,4,Ownership,Private,,
xxx Harrison Ave,South End,02118,225,162,63,194,137,57,31,25,6,Ownership/Rental,Private,,
xxx Marion St,East Boston,02128,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
xxx Maverick Street ,East Boston,02128,49,0,49,42,0,42,7,0,7,Ownership,Private,,
xxx Old Colony Avenue,South Boston,02127,19,19,0,16,16,0,3,3,0,Rental,Private,,
xxx Saratoga Street,East Boston,02128,18,18,0,15,15,0,3,3,0,Rental,Private,,
xxx Washington St,Jamaica Plain,02130,76,73,3,64,64,0,12,9,3,Ownership/Rental,Private,,
xxx West Broadway,South Boston,02127,31,31,0,27,27,0,4,4,0,Rental,Private,,
xxxx Beacon St,Fenway,02215,32,32,0,28,28,0,4,4,0,Rental,Private,,
xxxx Blue Hill Ave,Mattapan,02126,13,0,13,12,0,12,1,0,1,Ownership,Private,,
xxxx Blue Hill Avenue,Roxbury,02119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
xxxx Boylston Street,Downtown,02116,48,48,0,45,45,0,3,3,0,Rental,Private,,
xxxx Clarkson St (REO),Dorchester,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xxxx Dorchester Ave (Rental),Dorchester,02122,25,25,0,22,22,0,3,3,0,Rental,Private,,
xxxx Saratoga Street,East Boston,02128,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
xxxx W Broadway,South Boston,02127,16,0,16,14,0,14,2,0,2,Ownership,Private,,
xxxx Washington St,Jamaica Plain,02130,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
xxxx West Broadway,South Boston,02127,3,0,3,0,0,0,3,0,3,Ownership,Private,,
xxxxx Blue Hill Ave,Dorchester,02121,4,4,0,0,0,0,4,4,0,Rental,Public,,
xxxxx Clarkson St (REO),Dorchester,02125,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
xxxxx Washington St,Jamaica Plain,02130,21,21,0,17,17,0,4,4,0,Rental,Private,,
xxxxx West Broadway,South Boston,02127,15,15,0,13,13,0,2,2,0,Ownership,Private,,
xxxxxx Washington St,Dorchester,02124,2,2,0,0,0,0,2,2,0,Rental,Private,,
xxxxxx West Broadway,South Boston,02127,24,24,0,21,0,21,3,0,3,Ownership,Private,,
xxxxxxx Blue Hill Ave,Roxbury,02119,10,10,0,0,0,0,10,10,0,Rental,Public,,
xxxxxxx Washington St,South End,02118,33,33,0,2,2,0,31,31,0,Rental,Private,,
xxxxxxx West Broadway,South Boston,02127,44,0,44,38,0,38,6,0,6,Ownership,Private,,
xxxxxxxx Blue Hill Ave,Roxbury,02119,4,4,0,0,0,0,4,4,0,Rental,Private,,
xxxxxxxx Washington St,South End,02119,31,0,31,27,0,27,4,0,4,Ownership,Private,,
xxxxxxxxx Washington St,Roxbury,02130,10,0,10,9,0,9,1,0,1,Ownership,Private,,
YouthBuild Ruskindale Rd,Hyde Park,02136,1,0,1,0,0,0,1,0,1,Ownership,Private,,
YWCA Berkeley,South End,02116,208,208,0,168,168,0,40,40,0,Rental,Private,,
YWCA Boston Units,Back Bay,02116,115,115,0,36,36,0,79,79,0,Rental,Private,?,
Zebra Condominium,South End,02118,10,7,3,7,7,0,3,0,3,Ownership/Rental,Private,,
